iter	Passed	Remaining
1482	17470	100336
1483	17482	100326
1484	17494	100312
1485	17506	100304
1486	17519	100295
1487	17530	100283
1488	17542	100273
1489	17554	100260
1490	17566	100248
1491	17577	100234
1492	17589	100226
1493	17601	100215
1494	17612	100198
1495	17624	100184
1496	17635	100167
1497	17646	100154
1498	17658	100143
1499	17670	100134
1500	17682	100122
1501	17693	100107
1502	17705	100095
1503	17717	100084
1504	17729	100071
1505	17740	100056
1506	17752	100047
1507	17764	100034
1508	17776	100025
1509	17787	100012
1510	17800	100004
1511	17811	99988
1512	17823	99980
1513	17835	99968
1514	17847	99955
1515	17859	99946
1516	17871	99938
1517	17883	99925
1518	17895	99913
1519	17907	99904
1520	17920	99899
1521	17932	99887
1522	17943	99872
1523	17955	99864
1524	17968	99857
1525	17980	99849
1526	17992	99839
1527	18005	99831
1528	18017	99821
1529	18029	99810
1530	18041	99797
1531	18053	99788
1532	18064	99773
1533	18076	99760
1534	18087	99746
1535	18099	99735
1536	18110	99718
1537	18121	99705
1538	18133	99694
1539	18144	99679
1540	18156	99668
1541	18167	99652
1542	18179	99638
1543	18192	99632
1544	18203	99619
1545	18215	99607
1546	18226	99594
1547	18237	99576
1548	18249	99563
1549	18260	99550
1550	18273	99542
1551	18283	99524
1552	18295	99512
1553	18307	99499
1554	18317	99481
1555	18329	99470
1556	18341	99457
1557	18352	99444
1558	18364	99431
1559	18375	99415
1560	18387	99403
1561	18398	99391
1562	18409	99373
1563	18420	99357
1564	18432	99347
1565	18445	99339
1566	18457	99328
1567	18469	99318
1568	18481	99308
1569	18493	99297
1570	18504	99282
1571	18515	99266
1572	18527	99254
1573	18539	99244
1574	18550	99230
1575	18562	99218
1576	18574	99209
1577	18586	99196
1578	18597	99180
1579	18609	99172
1580	18621	99161
1581	18633	99149
1582	18644	99133
1583	18655	99120
1584	18667	99107
1585	18679	99099
1586	18691	99085
1587	18702	99069
1588	18714	99060
1589	18725	99047
1590	18736	99029
1591	18748	99019
1592	18760	99009
1593	18772	98999
1594	18784	98987
1595	18795	98970
1596	18807	98958
1597	18820	98953
1598	18831	98939
1599	18842	98925
1600	18854	98913
1601	18866	98900
1602	18878	98889
1603	18890	98879
1604	18901	98866
1605	18912	98851
1606	18924	98838
1607	18936	98825
1608	18948	98817
1609	18960	98805
1610	18972	98795
1611	18985	98789
1612	18996	98776
1613	19007	98759
1614	19019	98749
1615	19031	98739
1616	19043	98728
1617	19055	98718
1618	19067	98703
1619	19078	98690
1620	19090	98680
1621	19102	98670
1622	19114	98660
1623	19127	98651
1624	19139	98639
1625	19150	98625
1626	19161	98610
1627	19173	98599
1628	19185	98589
1629	19196	98575
1630	19208	98561
1631	19219	98545
1632	19230	98533
1633	19241	98515
1634	19253	98506
1635	19264	98491
1636	19276	98480
1637	19288	98466
1638	19299	98452
1639	19310	98438
1640	19322	98423
1641	19333	98410
1642	19343	98391
1643	19356	98381
1644	19368	98372
1645	19380	98364
1646	19392	98352
1647	19404	98342
1648	19416	98330
1649	19428	98321
1650	19440	98310
1651	19452	98298
1652	19464	98287
1653	19475	98273
1654	19488	98267
1655	19500	98257
1656	19512	98244
1657	19524	98236
1658	19536	98221
1659	19548	98211
1660	19560	98202
1661	19572	98192
1662	19583	98177
1663	19595	98165
1664	19607	98155
1665	19619	98146
1666	19631	98135
1667	19643	98121
